,id,text,label,text_final
10,11,"['الجزيره', 'كابيتال', 'استمرار', 'التحسن', 'لشهر', 'ال', 'قطاع', 'الاسمنت', 'يعمل', 'ب', 'طاقته', 'و', 'شركات', 'تصدر', 'طن', 'شهر']",1,"['جزيره', 'ابيتال', 'استمرار', 'تحس', 'لشهر', 'قطاع', 'اسم', 'يعمل', 'ب', 'طاق', 'شرك', 'تصدر', 'طن', 'شهر']"
11,12,"['ساما', 'تخفض', 'اسعار', 'الريبو', 'العكسي', 'الى', 'اساس', 'الريبو', 'الى', 'اساس']",0,"['سام', 'تخفض', 'اسعار', 'ريبو', 'عكس', 'الى', 'اساس', 'ريبو', 'الى', 'اساس']"
12,13,"['الموشر', 'يخسر', 'جلسه', 'مستوى', 'الشركات', 'القياديه', 'تخسر', 'اثناء', 'وذلك', 'تقيبم', 'نتايج', 'الربع', 'الثالث', 'هوي', 'الموشر', 'سب', 'توقعات', 'متسرعه', 'واحتمالات', 'يفترض', 'ضبط', 'سلوك', 'السوق']",0,"['موشر', 'يخسر', 'جلس', 'مستوى', 'شرك', 'قياديه', 'تخسر', 'اثناء', 'وذل', 'تقيبم', 'نتايج', 'ربع', 'ثالث', 'هو', 'موشر', 'سب', 'توقع', 'متسرع', 'واحتمال', 'يفترض', 'ضبط', 'سلو', 'سوق']"
13,14,"['هبط', 'لسوق', 'المال', 'السعودي', 'حوالي', 'نتوقع', 'ان', 'تكون', 'المناطق', 'نقطه', 'مستويات', 'تذعف', 'فيها', 'البيعيه', 'و', 'يبدء', 'الموشر', 'فى', 'تكوين', 'قاع', 'ريسي', 'لاستكمال', 'الاتجاه', 'الصاعد', 'على', 'المدى', 'الطويل', 'بدون', 'مقابل']",0,"['هبط', 'لسوق', 'مال', 'سعود', 'حوال', 'نتوقع', 'تكو', 'مناطق', 'نقط', 'مستو', 'تذعف', 'فيه', 'بيعيه', 'يبدء', 'موشر', 'فى', 'تكو', 'قاع', 'ريس', 'استكمال', 'اتجاه', 'صاعد', 'على', 'مدى', 'طويل', 'بدو', 'مقابل']"
14,15,"['يتداول', 'سهم', 'التامين', 'العربيه', 'اتجاه', 'هابط', 'المدى', 'القصير', 'منطقه', 'دعم', 'ومنطقه', 'مقاومه']",0,"['يتداول', 'سهم', 'تام', 'عربيه', 'اتج', 'هابط', 'مدى', 'قصير', 'منطق', 'دعم', 'منطق', 'مقاوم']"
15,16,"['يتداول', 'الكابلات', 'اتجاه', 'صاعد', 'قصير', 'الاجل', 'تمثل', 'منطقه', 'كدعم', 'ومنطقه', 'كمقاومه']",1,"['يتداول', 'كابل', 'اتج', 'صاعد', 'قصير', 'اجل', 'تمثل', 'منطق', 'كدعم', 'منطق', 'مقاوم']"
16,17,"['لا', 'تقبل', 'اي', 'توصيه', 'اي', 'شخص', 'حافظ', 'كاشك', 'بالوقت', 'يتحسن', 'السوق', 'سي', 'حتي', 'المضاربه', 'الحضيه', 'التلاعب', 'والتوصيات', 'بالغه', 'المال', 'صعب', 'تعويضه', 'نصيحه', 'محب', 'تصدق', 'الشاشه']",0,"['لا', 'تقبل', 'اي', 'توص', 'اي', 'شخص', 'حافظ', 'كاش', 'الو', 'يتحس', 'سوق', 'سي', 'حت', 'مضاربه', 'حضيه', 'تلاعب', 'توص', 'الغه', 'مال', 'صعب', 'تعويض', 'نصيح', 'محب', 'تصدق', 'شاشه']"
17,18,"['السوق', 'السعودي', 'اقوى', 'الاسواق', 'الماليه', 'عربيا', 'ولاسف', 'الاسوا', 'الاداء', 'شوف', 'القيادات', 'اشهر', 'والان', 'كم', 'واله', 'اداء', 'السوق', 'محزن', 'وموسف', 'لمضارب', 'المستثمر', 'الاجابه', 'اكيد', 'نزول', 'وبعد']",0,"['سوق', 'سعود', 'اقوى', 'اسواق', 'ماليه', 'عرب', 'لاسف', 'الاس', 'اداء', 'شوف', 'قياد', 'اشهر', 'والا', 'كم', 'وال', 'اداء', 'سوق', 'محز', 'موسف', 'مضارب', 'مستثمر', 'اجابه', 'اكيد', 'نزول', 'بعد']"
18,19,"['يتداول', 'عنايه', 'اتجاه', 'هابط', 'قصير', 'الاجل', 'يمثل', 'منطقه', 'كدعم', 'ومنطقه', 'المقاومه']",0,"['يتداول', 'عنا', 'اتج', 'هابط', 'قصير', 'اجل', 'يمثل', 'منطق', 'كدعم', 'منطق', 'مقاومه']"
19,20,"['حظ', 'تعايس', 'عنده', 'موجه', 'صاعده', 'العام', 'يقف', 'عقبه', 'بوجه', 'السهم', 'كون', 'السوق', 'لايساعد', 'نهايا', 'شراء', 'اوبيع', 'دفعات', 'سوا', 'العرض', 'اوالطلب']",0,"['حظ', 'تعايس', 'عند', 'موج', 'صاعد', 'عام', 'يقف', 'عقب', 'بوج', 'سهم', 'كون', 'سوق', 'ايساعد', 'نها', 'شراء', 'اوبيع', 'دفع', 'سوا', 'عرض', 'اوالطلب']"
20,21,"['وكانت', 'وكاله', 'قد', 'خفضت', 'في', 'سبتمبر', 'ايلول', 'الماضي', 'التصنيف', 'الايتماني', 'لسعوديه', 'من', 'درجه', 'من', 'الى', 'مع', 'نظره', 'مستقبليه', 'مستقره', 'على', 'خلفيه', 'الهجمات', 'المذكوره', 'تبع']",0,"['كان', 'كال', 'قد', 'خفض', 'في', 'سبتمبر', 'ايلول', 'ماض', 'تصنيف', 'ايتمان', 'سعود', 'من', 'درج', 'من', 'الى', 'مع', 'نظر', 'مستقبل', 'مستقر', 'على', 'خلف', 'هجم', 'مذكوره', 'تبع']"
21,22,"['ادني', 'نزول', 'حاد', 'نقاط', 'مستوي', 'سي', 'الموشرات', 'الاقتصاديه', 'اسواق', 'العالمتفاعل', 'المحفزات', 'والموشرات', 'بستثناء', 'سوقنا', 'الاسف', 'يتم', 'تركيع', 'وانزال', 'اسعار', 'لاسوء']",0,"['ادن', 'نزول', 'حاد', 'نقاط', 'مستو', 'سي', 'موشر', 'اقتصاديه', 'اسواق', 'عالمتفاعل', 'محفز', 'موشر', 'ستثناء', 'سوق', 'اسف', 'يتم', 'تركيع', 'وانزال', 'اسعار', 'اسوء']"
22,23,"['كسر', 'الدعم', 'المزاد', 'اغلاق', 'بالسالب', 'نزول', 'مستوي', 'يعتبر', 'ادني', 'اغلاق', 'سنوي']",0,"['كسر', 'دعم', 'مزاد', 'اغلاق', 'سالب', 'نزول', 'مستو', 'يعتبر', 'ادن', 'اغلاق', 'سنو']"
23,24,"['التحليل', 'الفني', 'والمالي', 'خارج', 'السطيره', 'سوق', 'الاسهم', 'لاتواقع', 'فيه', 'خبر', 'محفز', 'نهايا', 'السوق', 'تشبع', 'بالنزول', 'بالنصف', 'الاول', 'توقع', 'غدا', 'الموجه', 'الهابطه', 'والارتداد', 'بصفه', 'موقته', 'كون', 'اشاعه', 'قرب', 'تحولت', 'الى', 'منصه', 'شماعه']",0,"['تحليل', 'الفن', 'مال', 'خارج', 'سطيره', 'سوق', 'اسهم', 'اتواقع', 'فيه', 'خبر', 'محفز', 'نها', 'سوق', 'تشبع', 'نزول', 'نصف', 'اول', 'توقع', 'غدا', 'موجه', 'هابطه', 'ارتداد', 'بصف', 'موق', 'كون', 'اشاع', 'قرب', 'تحول', 'الى', 'منص', 'شماع']"
24,25,"['اغلق', 'موشر', 'سوق', 'الاسهم', 'السعوديه', 'منخفضا', 'نقطه', 'عند', 'مستوى', 'نقطه', 'بتداولات', 'بلغت', 'قيمتها', 'اكثر', 'من', 'مليار', 'ريال', 'فيما', 'اغلق', 'موشر', 'سوق', 'الاسهم', 'الموازيه', 'نمو', 'منخفضا', 'نقطه', 'عند', 'مستوى', 'نقطه', 'بتداولات', 'بلغت', 'ملاين', 'ريال']",0,"['اغلق', 'موشر', 'سوق', 'اسهم', 'سعوديه', 'منخفض', 'نقط', 'عند', 'مستوى', 'نقط', 'تداول', 'بلغ', 'قيم', 'اكثر', 'من', 'مليار', 'ريال', 'فيم', 'اغلق', 'موشر', 'سوق', 'اسهم', 'موازيه', 'نمو', 'منخفض', 'نقط', 'عند', 'مستوى', 'نقط', 'تداول', 'بلغ', 'ملا', 'ريال']"
25,26,"['نزول', 'نقاطافتاح', 'السوق', 'الموشر', 'العام', 'هبوط', 'نقط', 'شركه', 'خسرانه', 'مرتفعه', 'ثابته']",0,"['نزول', 'نقاطافتاح', 'سوق', 'موشر', 'عام', 'هبوط', 'نقط', 'شرك', 'خسرا', 'مرتفع', 'ثاب']"
26,27,"['يتاول', 'السهم', 'اتجاه', 'هابط', 'المدي', 'القصير', 'والمتوسط', 'وحاليا', 'مستوي', 'الدعم', 'ومستوي', 'المقاومه']",0,"['يتاول', 'سهم', 'اتج', 'هابط', 'المد', 'قصير', 'متوسط', 'حال', 'مستو', 'دعم', 'مست', 'مقاومه']"
27,28,"['شركه', 'صدق', 'تداول', 'اتجاه', 'صاعد', 'وتمثل', 'منطقه', 'كمقاومه', 'ومنطقه', 'كدعم']",1,"['شرك', 'صدق', 'تداول', 'اتج', 'صاعد', 'تمثل', 'منطق', 'مقاوم', 'منطق', 'كدعم']"
28,29,"['كسر', 'الدعم', 'المزاد', 'اغلاق', 'بالسالب', 'نزول', 'مستوي', 'يعتبر', 'ادني', 'اغلاق', 'سنوي']",0,"['كسر', 'دعم', 'مزاد', 'اغلاق', 'سالب', 'نزول', 'مستو', 'يعتبر', 'ادن', 'اغلاق', 'سنو']"
29,30,"['التحليل', 'الفني', 'والمالي', 'خارج', 'السطيره', 'سوق', 'الاسهم', 'لاتواقع', 'فيه', 'خبر', 'محفز', 'نهايا', 'السوق', 'تشبع', 'بالنزول', 'بالنصف', 'الاول', 'احتمال', 'غدا', 'الموجه', 'الهابطه', 'والارتداد', 'بصفه', 'موقته', 'كون', 'اشاعه', 'قرب', 'تحولت', 'الى', 'منصه', 'شماعه']",0,"['تحليل', 'الفن', 'مال', 'خارج', 'سطيره', 'سوق', 'اسهم', 'اتواقع', 'فيه', 'خبر', 'محفز', 'نها', 'سوق', 'تشبع', 'نزول', 'نصف', 'اول', 'احتمال', 'غدا', 'موجه', 'هابطه', 'ارتداد', 'بصف', 'موق', 'كون', 'اشاع', 'قرب', 'تحول', 'الى', 'منص', 'شماع']"
30,31,"['الموشر', 'يخسر', 'جلسه', 'مستوى', 'الشركات', 'القياديه', 'تخسر', 'اثناء', 'وذلك', 'تقيبم', 'نتايج', 'الربع', 'الثالث', 'هوي', 'الموشر', 'سب', 'توقعات', 'متسرعه', 'واحتمالات', 'يفترض', 'ضبط', 'سلوك', 'السوق']",0,"['موشر', 'يخسر', 'جلس', 'مستوى', 'شرك', 'قياديه', 'تخسر', 'اثناء', 'وذل', 'تقيبم', 'نتايج', 'ربع', 'ثالث', 'هو', 'موشر', 'سب', 'توقع', 'متسرع', 'واحتمال', 'يفترض', 'ضبط', 'سلو', 'سوق']"
31,32,"['فريم', 'شهري', 'يدعو', 'لتفاول', 'الاسهم', 'لم', 'تصل', 'قيعان', 'متوقعه', 'هاذا', 'الشهر', 'محفزات', 'اكتابات', 'مكن']",0,"['ريم', 'شهر', 'يدع', 'تفاول', 'اسهم', 'لم', 'تصل', 'قيعا', 'متوقع', 'هاذ', 'شهر', 'محفز', 'اكتاب', 'مكن']"
32,33,"['الموشر', 'ي', 'ادنى', 'اغلاق', 'سنوي', 'ف', 'اكتوبر', 'ويخسر', 'واسط', 'نقطه', 'الاحظ', 'الموشر', 'اغلاق', 'السوق', 'يرتد', 'الموشر', 'ويقلص', 'الخساير', 'نقطه', 'مستوي', 'نقطه', 'لعبه', 'قذره', 'تعودنا', 'يتعمد']",0,"['موشر', 'ي', 'ادنى', 'اغلاق', 'سنو', 'ف', 'اكتوبر', 'يخسر', 'واسط', 'نقط', 'احظ', 'موشر', 'اغلاق', 'سوق', 'يرتد', 'موشر', 'يقلص', 'خساير', 'نقط', 'مستو', 'نقط', 'لعب', 'قذر', 'تعود', 'يتعمد']"
33,34,"['الموشر', 'ي', 'بجلسه', 'الادنى', 'سنوي', 'مستوى', 'ويخسراثناء', 'نقطه', 'الاغلاق', 'يرتد', 'الموشر', 'وبعد', 'الموشر', 'يقلص', 'الخساير', 'لعبه', 'قذره', 'تعودنا', 'صانع', 'السوق', 'يتعمد', 'تركيع', 'وانزال', 'الش']",0,"['موشر', 'ي', 'جلس', 'ادنى', 'سنو', 'مستوى', 'يخسراثناء', 'نقط', 'اغلاق', 'يرتد', 'موشر', 'بعد', 'موشر', 'يقلص', 'خساير', 'لعب', 'قذر', 'تعود', 'صانع', 'سوق', 'يتعمد', 'تركيع', 'وانزال', 'الش']"
34,35,"['الاسف', 'اصبحنا', 'نسمع', 'قناه', 'الاخبار', 'السلبيه', 'الاشاعه', 'تلاعب', 'وتعبث', 'بمسار', 'حولت', 'وجعلت', 'اكتاب', 'منصه', 'شماعه', 'بنزول', 'السوق', 'كون', 'لايوجد', 'حمايه', 'وضبط', 'سلوك', 'السوق', 'ماحاس', 'سوقنا', 'اشاعه', 'اكتاب', 'ار']",0,"['اسف', 'اصبح', 'نسمع', 'قنا', 'اخبار', 'سلبيه', 'اشاعه', 'تلاعب', 'تعبث', 'مسار', 'حول', 'جعل', 'اكتاب', 'منص', 'شماع', 'نزول', 'سوق', 'كون', 'ايوجد', 'حما', 'ضبط', 'سلو', 'سوق', 'ماحاس', 'سوق', 'اشاع', 'اكتاب', 'ار']"
35,36,"['يتداول', 'الاركان', 'اتجاه', 'صاعد', 'قصير', 'الاجل', 'يمثل', 'منطقه', 'كمقاومه', 'ومنطقه', 'الدعم']",1,"['يتداول', 'ارك', 'اتج', 'صاعد', 'قصير', 'اجل', 'يمثل', 'منطق', 'مقاوم', 'منطق', 'دعم']"
36,37,"['يتداول', 'شاكر', 'اتجاه', 'هابط', 'قصير', 'الاجل', 'ويمثل', 'منطقه', 'كدعم', 'ومنطقه', 'كمقاومه']",0,"['يتداول', 'شاكر', 'اتج', 'هابط', 'قصير', 'اجل', 'يمثل', 'منطق', 'كدعم', 'منطق', 'مقاوم']"
37,38,"['سهم', 'اسيج', 'يتداول', 'اتجاه', 'هابط', 'قصير', 'الاجل', 'يمثل', 'منطقه', 'كدعم', 'ومنطقه', 'المقاومه']",0,"['سهم', 'اسيج', 'يتداول', 'اتج', 'هابط', 'قصير', 'اجل', 'يمثل', 'منطق', 'كدعم', 'منطق', 'مقاومه']"
38,39,"['اسمنت', 'حايل', 'تحت', 'المراقبه', 'يتحرك', 'السهم', 'فى', 'نمط', 'مثلث', 'سعرى', 'اختراق', 'مقاومه', 'ال', 'تكون', 'اشراه', 'ايجابيه', 'يستدف', 'فيها', 'السهم', 'رتويت', 'خلي', 'غيرك', 'يستفيد', 'زودني', 'باسهمك', 'خاص', 'و', 'احصل', 'علي', 'تحليلاتها', 'و', 'مستهدفاتها']",1,"['اسمن', 'حايل', 'تحت', 'مراقبه', 'يتحر', 'سهم', 'فى', 'نمط', 'مثلث', 'سعرى', 'اختراق', 'مقاوم', 'تكو', 'اشر', 'ايجاب', 'يستدف', 'فيه', 'سهم', 'رتو', 'خل', 'غير', 'يستفيد', 'زود', 'باس', 'خاص', 'احصل', 'عل', 'تحليل', 'مستهدف']"
39,40,"['يتداول', 'المتحده', 'اتجاه', 'هابط', 'قصير', 'الاجل', 'يمثل', 'منطقه', 'كدعم', 'منطقه', 'المقاومه']",0,"['يتداول', 'متحده', 'اتج', 'هابط', 'قصير', 'اجل', 'يمثل', 'منطق', 'كدعم', 'منطق', 'مقاومه']"
40,41,"['التحليل', 'الفني', 'والمالي', 'خارج', 'السطيره', 'سوق', 'الاسهم', 'السعودي', 'لاتواقع', 'فيهخبر', 'محفز', 'نهايا', 'السوق', 'تشبع', 'بالنزول', 'نفطه', 'بالنصف', 'الاول', 'احتمال', 'غدا', 'الموجه', 'الهابطهوالارتداد', 'بصفه', 'موقته', 'كون', 'اشاعه', 'تحولت', 'الى', 'منصه', 'شما']",0,"['تحليل', 'الفن', 'مال', 'خارج', 'سطيره', 'سوق', 'اسهم', 'سعود', 'اتواقع', 'يهخبر', 'محفز', 'نها', 'سوق', 'تشبع', 'نزول', 'نفط', 'نصف', 'اول', 'احتمال', 'غدا', 'موجه', 'هابطهوالارتداد', 'بصف', 'موق', 'كون', 'اشاع', 'تحول', 'الى', 'منص', 'شما']"
41,42,"['التحليل', 'الفني', 'والمالي', 'خارج', 'السطيره', 'سوق', 'الاسهم', 'لاتواقع', 'فيه', 'خبر', 'محفز', 'نهايا', 'السوق', 'تشبع', 'بالنزول', 'بالنصف', 'الاول', 'احتمال', 'غدا', 'الموجه', 'الهابطه', 'والارتداد', 'بصفه', 'موقته', 'كون', 'اشاعه', 'قرب', 'تحولت', 'الى', 'منصه', 'شما']",0,"['تحليل', 'الفن', 'مال', 'خارج', 'سطيره', 'سوق', 'اسهم', 'اتواقع', 'فيه', 'خبر', 'محفز', 'نها', 'سوق', 'تشبع', 'نزول', 'نصف', 'اول', 'احتمال', 'غدا', 'موجه', 'هابطه', 'ارتداد', 'بصف', 'موق', 'كون', 'اشاع', 'قرب', 'تحول', 'الى', 'منص', 'شما']"
42,43,"['يتداول', 'اتجاه', 'صاعد', 'قصير', 'الاجل', 'الاستقرار', 'اعلي', 'ليستهدف']",1,"['يتداول', 'اتج', 'صاعد', 'قصير', 'اجل', 'استقرار', 'اعل', 'يستهدف']"
43,44,"['لاسف', 'يتغير', 'شي', 'اشهر', 'والاجنبي', 'يراجع', 'ويغادر', 'الخساير', 'والماسي', 'الثقه', 'السوق', 'سلبيه']",0,"['لاسف', 'يتغير', 'شي', 'اشهر', 'اجنب', 'يراجع', 'يغادر', 'خساير', 'ماس', 'ثقه', 'سوق', 'سلب']"
44,45,"['السوق', 'السعودي', 'يعاني', 'النزول', 'المتواصل', 'كثره', 'الاشاعات', 'والاخبار', 'السلبيه', 'يفترض', 'منصه', 'اعلاميه', 'ونطاق', 'رسمي', 'يتحدث', 'شفافيه', 'ونفي', 'الاشاعه', 'ويتعمد', 'مباشر', 'بالمحافظه', 'ضبط', 'سلوك', 'السوق', 'الاسف', 'الموشر', 'جلسه', 'يخسر']",0,"['سوق', 'سعود', 'يعا', 'نزول', 'متواصل', 'كثر', 'اشاع', 'اخبار', 'سلبيه', 'يفترض', 'منص', 'اعلام', 'نطاق', 'رسم', 'يتحدث', 'شفاف', 'ونف', 'اشاعه', 'يتعمد', 'مباشر', 'محافظه', 'ضبط', 'سلو', 'سوق', 'اسف', 'موشر', 'جلس', 'يخسر']"
45,46,"['قرارتكم', 'فاشله', 'لاتحمي', 'السوق', 'النزول', 'الحاد', 'النصف', 'الاول', 'الموشر', 'العام', 'قرابه', 'هبوط', 'مظلي', 'اعلى', 'ادني', 'وسوف', 'يواصل', 'مسلسل', 'النزول', 'الشفافيه', 'وحمايه', 'المتداولين', 'معدومه', 'اغلب', 'الشركات', 'ت', 'خساير', 'متراكمه', 'براس', 'الما']",0,"['قرار', 'فاشل', 'اتحم', 'سوق', 'نزول', 'حاد', 'نصف', 'اول', 'موشر', 'عام', 'قراب', 'هبوط', 'مظل', 'اعلى', 'ادن', 'سوف', 'يواصل', 'مسلسل', 'نزول', 'شفافيه', 'حما', 'متداول', 'معدوم', 'اغلب', 'شرك', 'خساير', 'مترا', 'راس', 'الما']"
46,47,"['قواعدالتعديلات', 'وحمايه', 'الموشر', 'النزول', 'المتواصل', 'جلسه', 'السوق', 'يخسر', 'خلال', 'جلسه', 'الموشر', 'يفقد', 'تحول', 'السعودي', 'الى', 'بيه', 'طاره', 'لمستثمر', 'ولمضارب', 'نتطلع', 'وضع', 'اليه', 'وحمايه', 'وايقاف', 'النزيف', 'الحاد', 'والنزول', 'المتو']",0,"['قواعدالتعديل', 'حما', 'موشر', 'نزول', 'متواصل', 'جلس', 'سوق', 'يخسر', 'خلال', 'جلس', 'موشر', 'يفقد', 'تحول', 'سعود', 'الى', 'بيه', 'طار', 'مستثمر', 'مضارب', 'نتطلع', 'وضع', 'اليه', 'حما', 'وايقاف', 'نزيف', 'حاد', 'نزول', 'متو']"
47,48,"['فعلا', 'اكبر', 'مشكله', 'السيوله', 'الضعيفه', 'وحلها', 'وجود', 'صانع', 'سوق', 'حقيقي', 'يوفر', 'العروض', 'والطلبات', 'لمتداولين']",0,"['فعل', 'اكبر', 'مشكل', 'سيوله', 'ضعيفه', 'وحل', 'جود', 'صانع', 'سوق', 'حقيق', 'يوفر', 'عروض', 'طلب', 'متداول']"
48,49,"['يفتقر', 'المصداقيه', 'والشفافيه', 'الحرب', 'التجاريه', 'امريكا', 'والصين', 'واسواقهم', 'تطلع', 'وسوقنا', 'ينزل', 'تدخل', 'المليارات', 'الاجنبيه', 'لسوقنا', 'وينزل', 'نقطه', 'خشاش']",0,"['يفتقر', 'مصداقيه', 'شفاف', 'حرب', 'تجاريه', 'امر', 'والص', 'واسواق', 'تطلع', 'سوق', 'ينزل', 'تدخل', 'مليار', 'اجنبيه', 'لسوق', 'ينزل', 'نقط', 'خشاش']"
49,50,"['ادني', 'نزول', 'حاد', 'نقاط', 'مستوي', 'سي', 'الموشرات', 'الاقتصاديه', 'اسواق', 'العالمتفاعل', 'المحفزات', 'والموشرات', 'بستثناء', 'سوقنا', 'الاسف', 'يتم', 'تركيع', 'وانزال', 'اسعار', 'لاسوء']",0,"['ادن', 'نزول', 'حاد', 'نقاط', 'مستو', 'سي', 'موشر', 'اقتصاديه', 'اسواق', 'عالمتفاعل', 'محفز', 'موشر', 'ستثناء', 'سوق', 'اسف', 'يتم', 'تركيع', 'وانزال', 'اسعار', 'اسوء']"
50,51,"['كسر', 'الدعم', 'المزاد', 'اغلاق', 'بالسالب', 'نزول', 'مستوي', 'يعتبر', 'ادني', 'اغلاق', 'سنوي']",0,"['كسر', 'دعم', 'مزاد', 'اغلاق', 'سالب', 'نزول', 'مستو', 'يعتبر', 'ادن', 'اغلاق', 'سنو']"
51,52,"['سهم', 'اسمنت', 'نجران', 'سهم', 'الجزيره', 'ريت', 'وسهم', 'السريع', 'ضغط', 'مفتعل', 'هذي', 'الاسهم', 'فيهم', 'خير', 'كثير']",0,"['سهم', 'اسمن', 'نجرا', 'سهم', 'جزيره', 'ريت', 'سهم', 'سريع', 'ضغط', 'مفتعل', 'هذ', 'اسهم', 'يهم', 'خير', 'كثير']"
52,53,"['التحليل', 'الفني', 'والمالي', 'خارج', 'السطيره', 'سوق', 'الاسهم', 'لاتواقع', 'فيه', 'خبر', 'محفز', 'نهايا', 'السوق', 'تشبع', 'بالنزول', 'بالنصف', 'الاول', 'احتمال', 'غدا', 'الموجه', 'الهابطه', 'والارتداد', 'بصفه', 'موقته', 'كون', 'اشاعه', 'قرب', 'تحولت', 'الى', 'منصه', 'شماعه', 'نز']",0,"['تحليل', 'الفن', 'مال', 'خارج', 'سطيره', 'سوق', 'اسهم', 'اتواقع', 'فيه', 'خبر', 'محفز', 'نها', 'سوق', 'تشبع', 'نزول', 'نصف', 'اول', 'احتمال', 'غدا', 'موجه', 'هابطه', 'ارتداد', 'بصف', 'موق', 'كون', 'اشاع', 'قرب', 'تحول', 'الى', 'منص', 'شماع', 'نز']"
